company_name,domain,linkedin_url,hq_city,hq_country,employee_count,estimated_revenue,industry,signal(s),qualified (yes/no),notes
Truth Collective,truthcollective.com,https://www.linkedin.com/company/truth-collective,Rochester,United States,22,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Realeyes Digital Llc,realeyesdigital.com,https://www.linkedin.com/company/real-eyes-digital,Santa Monica,United States,14,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Pslondon,pslondon.co.uk,https://www.linkedin.com/company/pslondon,London,United Kingdom,18,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
ONA Creative,onacreative.com,https://www.linkedin.com/company/onacreative,Los Angeles,United States,33,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Wdc Creative,wdc-creative.com,https://www.linkedin.com/company/wdc-creative,Manchester,United Kingdom,19,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Havas Danmark,havas.com,https://www.linkedin.com/company/havas-danmark,Kobenhavn Kobenhavn K,Denmark,29,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Boncom,boncom.com,https://www.linkedin.com/company/boncom,Salt Lake City,United States,165,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
"Citizennet, A Condé Nast Company",citizennet.com,https://www.linkedin.com/company/citizennet,Los Angeles,United States,10,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Factor San Francisco,factorsf.com,https://www.linkedin.com/company/factor-san-francisco,Walnut Creek,United States,144,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Userlutions,userlutions.com,https://www.linkedin.com/company/userlutions-gmbh,,Germany,35,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Market Research,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Media Gate - Agência De Meios E Comunicação,mediagate.pt,https://www.linkedin.com/company/mediagatept,Lisbon,Portugal,20,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Rca Factory,rcafactory.com,https://www.linkedin.com/company/rcafactory,Paris,France,34,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Grapeseed Media,grapeseedmedia.com,https://www.linkedin.com/company/grapeseed-media,New York,United States,29,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Tandem Theory,tandemtheory.com,https://www.linkedin.com/company/tandem-theory-llc,Dallas,United States,87,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Prime Studio,primestudio.com,https://www.linkedin.com/company/prime-studio,New York,United States,21,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Overland Expo,overlandexpo.com,https://www.linkedin.com/company/overland-expo,San Juan Capistrano,United States,23,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Blaze Pr,blazepr.com,https://www.linkedin.com/company/blaze-pr,Santa Monica,United States,39,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Fish Marketing,fish-marketing.com,https://www.linkedin.com/company/fish-marketing,Portland,United States,283,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Miresball,miresball.com,https://www.linkedin.com/company/miresball,San Diego,United States,17,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Ferrerolegno S.P.A,ferrerolegno.com,https://www.linkedin.com/company/ferrerolegno-s-p-a-,Magliano Alpi,Italy,64,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
People For Research,peopleforresearch.co.uk,https://www.linkedin.com/company/people-for-research,Bristol,United Kingdom,40,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Market Research,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Masters Of Magic,mastersofmagic.it,https://www.linkedin.com/company/masters-of-magic,Torino,Italy,18,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Bubbleup,bubbleup.com,https://www.linkedin.com/company/bubbleup,The Woodlands,United States,46,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Headoffice,headoffice.be,https://www.linkedin.com/company/head-office,Herent,Belgium,110,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Harrogate Convention Centre,harrogateconventioncentre.co.uk,https://www.linkedin.com/company/harrogate-convention-centre,Harrogate,United Kingdom,71,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Ae Design Group,aedesigngroup.com,https://www.linkedin.com/company/ae-design-group-llc,Inwood,United States,15,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Findsome & Winmore,findsomewinmore.com,https://www.linkedin.com/company/findsome-winmore,Winter Park,United States,14,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Edge Research,edgeresearch.com,https://www.linkedin.com/company/edge-research,Arlington,United States,25,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Market Research,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Blue Bear Creative - Social Media Agency,bluebearcreative.co,https://www.linkedin.com/company/blue-bear-creative-llc,Denver,United States,25,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Graysquare,gograysquare.com,https://www.linkedin.com/company/graysquare,Philadelphia,United States,21,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Obility,obilityb2b.com,https://www.linkedin.com/company/obilityb2b,Portland,United States,37,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Martindale-Nolo,martindale-avvo.com,https://www.linkedin.com/company/martindale-nolo,Pleasanton,United States,51,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Gravitate,gravitatedesign.com,https://www.linkedin.com/company/gravitate-design-studio,Vancouver,United States,24,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Enova,teamenova.com,https://www.linkedin.com/company/teamenova,New Providence,United States,254,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
KVL Audio Visual Services,kvlav.com,https://www.linkedin.com/company/kvl-audio-visual-services,Yonkers,United States,156,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Olson Zaltman,olsonzaltman.com,https://www.linkedin.com/company/olson-zaltman,Pittsburgh,United States,41,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Market Research,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Horowitz Agency,horowitzagency.com,https://www.linkedin.com/company/horowitz-agency,Los Angeles,United States,17,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Event Eleven,eventeleven.com,https://www.linkedin.com/company/event-eleven,Los Angeles,United States,27,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Try Apt,try.no,https://www.linkedin.com/company/apt,Oslo,Norway,540,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Avannis Inc.,avannis.com,https://www.linkedin.com/company/avannis,Denver,United States,24,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Market Research,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Breaking Data,breakingdata.com,https://www.linkedin.com/company/breaking-data,Cherry Hill,United States,11,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Sokal,gosokal.com,https://www.linkedin.com/company/gosokal,Raleigh,United States,179,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Propaganda,propaganda.be,https://www.linkedin.com/company/propaganda_2,Zaventem,Belgium,79,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Littlefield Agency,littlefieldagency.com,https://www.linkedin.com/company/littlefield-agency,Tulsa,United States,37,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Lightart,lightart.com,https://www.linkedin.com/company/lightart,Seattle,United States,59,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
TRIO,triodesign.com,https://www.linkedin.com/company/designbytrio,Denver,United States,278,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Words At Work,wordsatwork.com,https://www.linkedin.com/company/words-at-work,Minneapolis,United States,68,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
37DEUX,37deux.com,https://www.linkedin.com/company/37deux,,France,38,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Field Vision Bars,fieldvision.co.uk,https://www.linkedin.com/company/field-vision-bars,London,United Kingdom,24,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Bridgewater Studio,bridgewaterstudio.net,https://www.linkedin.com/company/bridgewater-studio-inc-,Chicago,United States,50,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Pmh,pmhadv.com,https://www.linkedin.com/company/pmh,Minneapolis,United States,164,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Signs Now,signsnow.com,https://www.linkedin.com/company/signs-now,Plymouth,United States,347,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Receptional,receptional.com,https://www.linkedin.com/company/receptional-ltd,Bedford,United Kingdom,219,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Flying Cork,flyingcork.com,https://www.linkedin.com/company/flying-cork-media,Pittsburgh,United States,39,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Money Mailer,moneymailer.com,https://www.linkedin.com/company/money-mailer,Cypress,United States,439,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Düsseldorf Congress,duesseldorfcongress.de,https://www.linkedin.com/company/duesseldorfcongress,Dusseldorf,Germany,46,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Coal,wearecoal.co.uk,https://www.linkedin.com/company/coalagency,London,United Kingdom,63,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Glu Company,glucompany.com,https://www.linkedin.com/company/glu-company,Miami,United States,65,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Cannaplanners,cannaplanners.com,https://www.linkedin.com/company/cannaplanners,Burlington,United States,24,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Concord Marketing Solutions Inc,concordms.com,https://www.linkedin.com/company/concord-marketing-solutions-inc,Glendale Heights,United States,99,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Prohaska Consulting,prohaskaconsulting.com,https://www.linkedin.com/company/prohaska-consulting,New York,United States,48,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Manaferra,manaferra.com,https://www.linkedin.com/company/manaferra,New York,United States,25,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Easyfairs Nordic,easyfairs.com,https://www.linkedin.com/company/easyfairs-nordic,Molndal,Sweden,99,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
The Axis Agency,theaxisagency.com,https://www.linkedin.com/company/the-axis-agency,Burbank,United States,25,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Rigging Technologies,riggingtechnologies.com,https://www.linkedin.com/company/rigging-technologies,North Las Vegas,United States,22,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Fifty And Fifty,fiftyandfifty.org,https://www.linkedin.com/company/fiftyandfifty,Encinitas,United States,22,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Graffiti,graffiti.it,https://www.linkedin.com/company/graffiti-2000,Riva Del Garda,Italy,124,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
The Marketing Pod,marketingpod.com,https://www.linkedin.com/company/themarketingpod,Solihull,United Kingdom,40,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Buddybrand,buddybrand.com,https://www.linkedin.com/company/buddybrand,Berlin,Germany,46,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
Flarie,flarie.com,https://www.linkedin.com/company/flarie,Sodermalm,Sweden,25,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Round-2 batch (new companies not scanned in the first ~10k run); in scope per widened industry/geo/headcount/revenue filters; holding-company networks included per user's prior decision; not individually hand-vetted.
